epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,725.063,0.60935,0.95577,0.6364,1.00826,0.59068,0.61902,0.60853,0.49726,0.56816,0.59224,0.56476,0.45614,0.88136,2.40591,1.30624,1.18207,0.00101075,0.00101075,0.00101075
31,749.4,0.58113,0.95184,0.61366,0.99685,0.61825,0.57228,0.59195,0.48312,0.59103,0.54737,0.54628,0.45101,0.82157,2.08122,1.3509,1.07918,0.0010025,0.0010025,0.0010025
32,774.406,0.57299,0.94669,0.61244,1.00457,0.59396,0.57309,0.58645,0.50409,0.57453,0.5262,0.55254,0.44322,0.7819,2.00933,1.36096,1.05676,0.00099425,0.00099425,0.00099425
33,798.603,0.57118,0.9344,0.59209,0.99528,0.63942,0.53505,0.59989,0.50321,0.57248,0.56873,0.55831,0.45111,0.78939,1.952,1.26538,1.10213,0.000986,0.000986,0.000986
34,823.805,0.57924,0.89557,0.59359,0.98954,0.60944,0.58438,0.60263,0.49579,0.57176,0.55775,0.54699,0.44289,0.84298,2.12747,1.27095,1.08602,0.00097775,0.00097775,0.00097775
35,851.063,0.57056,0.93739,0.58431,0.99112,0.59812,0.60581,0.59942,0.49187,0.56334,0.5651,0.54088,0.44178,0.87292,2.1609,1.26079,1.11576,0.0009695,0.0009695,0.0009695
36,877.008,0.56745,0.89187,0.59567,0.98622,0.56539,0.59501,0.56359,0.46068,0.53884,0.55715,0.52329,0.42856,0.81647,2.17936,1.35111,1.08337,0.00096125,0.00096125,0.00096125
37,902.297,0.54944,0.87432,0.56883,0.98742,0.58454,0.61771,0.57863,0.48696,0.56867,0.58948,0.54093,0.44928,0.82611,2.08612,1.3818,1.14736,0.000953,0.000953,0.000953
38,927.484,0.53726,0.8555,0.56523,0.98278,0.63302,0.59306,0.61898,0.51903,0.60749,0.55707,0.56411,0.46896,0.82607,2.33927,1.23229,1.10254,0.00094475,0.00094475,0.00094475
39,952.374,0.56561,0.86949,0.56439,0.98622,0.57937,0.61308,0.59997,0.4923,0.57449,0.55487,0.52497,0.43408,0.8216,2.17011,1.47815,1.12277,0.0009365,0.0009365,0.0009365
