epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1289.8,0.58214,0.9709,0.62856,1.01755,0.6401,0.56095,0.62285,0.52419,0.60975,0.53175,0.56957,0.4744,0.74161,1.82226,1.1988,1.03772,0.00113038,0.00113038,0.00113038
31,1332.66,0.57021,0.97307,0.61649,1.01015,0.66197,0.56354,0.62386,0.51194,0.62711,0.52289,0.55694,0.46687,0.79811,1.88143,1.09084,1.13729,0.00112625,0.00112625,0.00112625
32,1376.08,0.5649,0.96397,0.6025,1.01728,0.65065,0.56036,0.59878,0.49989,0.61113,0.52816,0.54186,0.44879,0.7606,1.88051,1.24513,1.08678,0.00112213,0.00112213,0.00112213
33,1418.81,0.56499,0.96206,0.60421,1.00962,0.63826,0.56406,0.62213,0.51738,0.57963,0.57972,0.57506,0.46558,0.75532,1.96167,1.20029,1.05862,0.001118,0.001118,0.001118
34,1461.61,0.55881,0.91971,0.59524,1.00142,0.617,0.58091,0.58511,0.48815,0.59183,0.55983,0.53973,0.44353,0.76588,1.96125,1.34851,1.06582,0.00111388,0.00111388,0.00111388
35,1504.67,0.56045,0.97473,0.60253,1.00847,0.63613,0.5745,0.6082,0.51449,0.60609,0.54344,0.56869,0.45098,0.79822,1.98992,1.28962,1.09161,0.00110975,0.00110975,0.00110975
36,1547.71,0.54833,0.92136,0.59302,0.99535,0.58806,0.57165,0.5795,0.50006,0.5834,0.58184,0.55272,0.436,0.72294,2.14839,1.21631,1.02008,0.00110563,0.00110563,0.00110563
37,1589.55,0.53501,0.9048,0.56865,0.99296,0.61906,0.58619,0.60356,0.50518,0.58933,0.56591,0.55135,0.45623,0.76033,2.00349,1.23772,1.09422,0.0011015,0.0011015,0.0011015
38,1630.85,0.52507,0.88659,0.57221,0.99002,0.63561,0.59949,0.63353,0.53784,0.59795,0.5654,0.58228,0.48276,0.75274,2.06901,1.15497,1.0947,0.00109738,0.00109738,0.00109738
39,1672.21,0.55143,0.93035,0.57091,0.99352,0.61942,0.55574,0.59753,0.5158,0.59855,0.53662,0.55509,0.44153,0.73451,2.07126,1.26778,1.08286,0.00109325,0.00109325,0.00109325
40,1714.16,0.53825,0.91497,0.5876,0.9971,0.59244,0.59039,0.59917,0.49162,0.55559,0.5518,0.5321,0.42824,0.81273,1.97853,1.25371,1.13123,0.00108913,0.00108913,0.00108913
41,1757.17,0.52894,0.87971,0.5641,0.99545,0.64942,0.55779,0.59422,0.49707,0.59294,0.5184,0.52842,0.42086,0.79866,2.02458,1.20466,1.14975,0.001085,0.001085,0.001085
42,1800.49,0.52978,0.88483,0.56599,0.98713,0.59047,0.60366,0.60146,0.49775,0.56842,0.57597,0.54165,0.43336,0.80387,2.40692,1.30807,1.13708,0.00108088,0.00108088,0.00108088
43,1843.69,0.52376,0.93659,0.55703,0.99074,0.57247,0.60027,0.60389,0.50861,0.54392,0.56677,0.54585,0.44826,0.6905,2.21015,1.19222,0.99075,0.00107675,0.00107675,0.00107675
44,1887.04,0.53436,0.8745,0.55222,0.99342,0.58352,0.58845,0.57912,0.48936,0.58635,0.54048,0.55062,0.43228,0.75781,2.11995,1.22501,1.04983,0.00107263,0.00107263,0.00107263
45,1930.4,0.53498,0.9061,0.56659,0.99694,0.59026,0.58584,0.59679,0.50854,0.54958,0.54961,0.53933,0.42916,0.77588,2.06658,1.30689,1.07861,0.0010685,0.0010685,0.0010685
46,1974.01,0.51113,0.88229,0.54758,0.98708,0.58909,0.63639,0.62004,0.5322,0.56205,0.58454,0.54548,0.45345,0.7203,1.95437,1.20914,1.04652,0.00106437,0.00106437,0.00106437
47,2017.25,0.50663,0.84761,0.53164,0.97471,0.63276,0.57254,0.6044,0.51213,0.57446,0.57309,0.55421,0.45108,0.75174,2.22331,1.06709,1.03926,0.00106025,0.00106025,0.00106025
48,2060.93,0.51158,0.88437,0.54393,0.98183,0.57911,0.63088,0.61072,0.52424,0.60359,0.54285,0.56192,0.46256,0.79638,2.13362,1.30395,1.06524,0.00105612,0.00105612,0.00105612
49,2104.76,0.51204,0.92527,0.54574,0.98564,0.58601,0.60972,0.6024,0.51134,0.55381,0.57642,0.5499,0.44958,0.81356,2.12448,1.35178,1.11243,0.001052,0.001052,0.001052
50,2148.18,0.50528,0.87442,0.52549,0.97316,0.60791,0.57235,0.58324,0.50716,0.58237,0.54592,0.54305,0.45369,0.78582,2.22429,1.39118,1.08368,0.00104787,0.00104787,0.00104787
